Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.7084148727984344,0.12650602409638553,0.84,0.2198952879581152,0.8381481481481481
Decision Tree,0.9129158512720157,0.06666666666666667,0.06,0.06315789473684211,0.5083950617283951
Random Forest,0.9452054794520548,0.25,0.06,0.0967741935483871,0.742201646090535
SVM,0.7113502935420744,0.1276595744680851,0.84,0.22163588390501318,0.8025308641975308
KNN,0.9500978473581213,0.3333333333333333,0.02,0.03773584905660377,0.6794958847736625
Gradient Boosting,0.949119373776908,0.25,0.02,0.037037037037037035,0.8254218106995885
